house_id,area_sqft,bedrooms,bathrooms,neighborhood,year_built,garage_size,distance_city_center,house_condition,price
1,2048.0,3,2.0,,1991,0.0,1.8631471535532165,Good,299498.28751876357
2,1730.0,2,2.0,Suburb,1971,2.0,3.5365102594787663,Fair,240544.4912058549
3,2123.0,3,,Uptown,2017,2.0,12.730681836565035,Excellent,250404.38823601356
4,2561.0,2,1.0,Riverside,1968,2.0,8.755637302247331,Good,337383.81168606225
5,,4,1.0,Downtown,2015,0.0,7.7474273874083135,Good,255988.19010208925
6,1682.0,5,3.0,Downtown,1988,2.0,2.142187936419307,Good,248027.41483528502
7,2589.0,2,2.0,OldTown,1968,1.0,22.445119781326035,Poor,294585.52159941796
8,2183.0,5,,OldTown,1965,2.0,17.449555360063744,Excellent,280764.41135265795
9,1565.0,3,2.0,Uptown,2003,0.0,3.47964484208141,Poor,199436.3720212107
10,2071.0,3,2.0,Downtown,1974,0.0,2.093625964559945,Fair,260821.50606221487
11,1568.0,2,3.0,Uptown,1967,1.0,24.384377069065454,Good,164462.08167146292
12,1567.0,3,3.0,Riverside,1972,0.0,17.18872748576787,Good,180814.93581871677
13,1920.0,4,2.0,Suburb,1960,1.0,10.727673741796666,Good,250815.3842403458
14,843.0,4,1.0,Downtown,1988,3.0,17.69241049851673,Good,115193.64598355802
15,937.0,2,3.0,Riverside,2017,,19.0301287687639,Fair,127603.16272394551
16,1518.0,2,1.0,Downtown,1974,,19.609073958525094,Excellent,191379.37841280177
17,1293.0,3,1.0,OldTown,2012,0.0,12.207993988499911,Poor,129073.99980676064
18,1957.0,3,3.0,Uptown,1979,0.0,11.032127574058777,Excellent,239903.93766407116
19,1345.0,3,1.0,OldTown,1994,0.0,0.7701880645880583,Fair,213870.76880103187
20,1093.0,3,,Suburb,2010,1.0,23.20064932097503,Good,126639.20055026823
21,2532.0,4,1.0,OldTown,2000,3.0,15.281043020529106,Poor,337967.32806011144
22,1687.0,5,3.0,Downtown,1958,0.0,5.477271461154219,Good,251265.0254389668
23,1833.0,3,2.0,OldTown,1951,1.0,23.030283775825197,Excellent,209666.21072750044
24,1087.0,5,2.0,Downtown,1954,1.0,22.91583159337226,Fair,140787.38100046013
25,1527.0,3,1.0,Suburb,2011,3.0,24.73501202696935,Good,175691.99772877304
26,1855.0,3,2.0,OldTown,2018,0.0,21.91438579690498,Good,229885.93344571386
27,1224.0,3,2.0,Uptown,2001,0.0,24.945717501591584,Good,123092.99986174318
28,1987.0,4,2.0,Uptown,1954,0.0,6.494811609020179,Excellent,265191.2474773775
29,1499.0,5,2.0,Uptown,2008,1.0,21.135114837381234,Fair,209316.5193902877
30,1654.0,4,1.0,OldTown,2017,0.0,20.66419356549623,Fair,187595.77279046417
31,1499.0,3,3.0,OldTown,1958,,6.158038800907977,Poor,219149.5214201798
32,2726.0,4,2.0,OldTown,1971,1.0,2.911719950524274,Fair,363132.60027319595
33,1793.0,2,3.0,Downtown,1976,1.0,24.495802585101192,Poor,202381.69636066936
34,1271.0,5,2.0,Suburb,1959,1.0,7.752601512254953,Good,187528.35615728618
35,2211.0,3,2.0,Uptown,2010,0.0,21.83684886646125,Fair,244929.16773568955
36,1189.0,3,2.0,Downtown,2000,1.0,0.6011152895277954,Poor,168318.71080822637
37,1904.0,3,2.0,Uptown,1959,3.0,1.0151077768802539,Poor,278000.76920567366
38,820.0,4,3.0,Downtown,1955,2.0,11.913847063061025,Good,155937.07009585068
39,1135.0,2,2.0,OldTown,2011,2.0,6.348509756409057,Good,175976.9218383414
40,1898.0,4,1.0,Uptown,1954,2.0,17.401111444181126,Fair,212374.14358821625
41,2169.0,3,2.0,OldTown,2019,0.0,14.356325976414881,Excellent,256984.35817383818
42,1885.0,4,2.0,Uptown,2012,0.0,2.3984020375370405,Poor,250636.42454772815
43,1742.0,4,2.0,Riverside,2005,0.0,4.484393259735068,Excellent,210824.75024852934
44,1649.0,4,1.0,Downtown,2008,1.0,10.00720711643115,Good,227371.15634915404
45,1060.0,3,2.0,Riverside,2012,,5.047299566908112,Fair,149183.5764828091
46,1440.0,3,2.0,Downtown,2008,1.0,19.90944750747625,Good,214439.9465111792
47,1569.0,2,2.0,Suburb,2000,1.0,10.69372077105536,Good,193212.1517731372
48,2328.0,4,2.0,Uptown,1999,2.0,2.789080737641232,Fair,314258.3272267598
49,1971.0,3,2.0,Suburb,1953,2.0,12.366401105667059,Excellent,242328.43189552065
